34.9999, 36.0000, 173.0000, 0, 0,0,0
0, -0.0001,-0.0544,-0.0044,0.0001,-0.0001,1.3885
1, -0.0164,0.0039,-0.0087,0.0000,-0.0001,1.3837
2, -0.0615,0.0063,0.0062,0.0000,-0.0000,1.3632
3, -0.1349,-0.0018,0.0067,0.0000,-0.0000,1.3305
4, -0.2297,0.0013,0.0025,0.0000,-0.0000,1.2877
5, -0.3448,-0.0037,-0.0331,-0.0000,-0.0002,1.2363
6, -0.4780,0.0018,-0.0048,0.0000,-0.0001,1.1779
7, -0.6255,0.0008,-0.0043,0.0000,-0.0001,1.1139
8, -0.7829,-0.0025,0.0006,0.0001,-0.0001,1.0458
9, -0.9469,0.0080,0.0051,0.0000,0.0000,0.9757
10, -1.1163,0.0006,-0.0002,0.0000,-0.0001,0.9048
11, -1.2862,0.0010,-0.0033,-0.0000,-0.0001,0.8343
12, -1.4541,-0.0002,-0.0002,0.0000,-0.0000,0.7666
13, -1.6168,0.0002,0.0004,0.0000,-0.0000,0.7027
14, -1.7709,-0.0004,-0.0019,-0.0000,-0.0000,0.6444
15, -1.9138,0.0004,0.0003,0.0000,-0.0000,0.5932
16, -2.0410,0.0063,-0.0031,0.0001,0.0000,0.5510
17, -2.1508,0.0001,0.0010,0.0002,-0.0001,0.5189
18, -2.2391,0.0020,0.0012,0.0002,-0.0001,0.4984
19, -2.3028,-0.0017,0.0003,0.0001,-0.0002,0.4913
20, -2.3516,-0.0017,0.0040,-0.0008,-0.0005,0.4914
21, -2.3969,-0.0102,0.0178,-0.0035,-0.0015,0.4914
22, -2.4382,-0.0232,0.0333,-0.0079,-0.0029,0.4918
23, -2.4768,-0.0425,0.0634,-0.0136,-0.0050,0.4924
24, -2.5118,-0.0644,0.0978,-0.0208,-0.0076,0.4934
25, -2.5442,-0.0912,0.1347,-0.0292,-0.0105,0.4950
26, -2.5732,-0.1222,0.1781,-0.0386,-0.0139,0.4970
27, -2.5996,-0.1572,0.2245,-0.0490,-0.0175,0.4997
28, -2.6235,-0.1928,0.2746,-0.0602,-0.0214,0.5033
29, -2.6444,-0.2326,0.3259,-0.0720,-0.0256,0.5076
30, -2.6635,-0.2740,0.3814,-0.0843,-0.0299,0.5126
31, -2.6802,-0.3161,0.4375,-0.0970,-0.0343,0.5190
32, -2.6952,-0.3589,0.4952,-0.1099,-0.0388,0.5263
33, -2.7078,-0.4022,0.5528,-0.1228,-0.0433,0.5349
34, -2.7192,-0.4448,0.6102,-0.1357,-0.0478,0.5447
35, -2.7287,-0.4871,0.6671,-0.1483,-0.0522,0.5558
36, -2.7357,-0.5283,0.7217,-0.1606,-0.0565,0.5686
37, -2.7430,-0.5670,0.7743,-0.1724,-0.0606,0.5830
38, -2.7477,-0.6033,0.8244,-0.1836,-0.0645,0.5990
39, -2.7498,-0.6397,0.8688,-0.1941,-0.0681,0.6174
40, -2.7533,-0.6707,0.9118,-0.2036,-0.0715,0.6374
41, -2.7548,-0.6989,0.9486,-0.2123,-0.0745,0.6600
42, -2.7571,-0.7221,0.9817,-0.2194,-0.0770,0.6836
43, -2.7571,-0.7422,1.0072,-0.2254,-0.0791,0.7102
44, -2.7570,-0.7577,1.0259,-0.2299,-0.0807,0.7392
45, -2.7592,-0.7641,1.0400,-0.2326,-0.0816,0.7699
46, -2.7578,-0.7690,1.0431,-0.2336,-0.0820,0.8034
47, -2.7561,-0.7644,1.0438,-0.2308,-0.0803,0.8392
48, -2.7450,-0.7583,1.0415,-0.2225,-0.0752,0.8775
49, -2.7296,-0.7450,1.0392,-0.2095,-0.0670,0.9188
50, -2.7087,-0.7276,1.0367,-0.1915,-0.0559,0.9608
51, -2.6829,-0.7052,1.0344,-0.1690,-0.0421,1.0041
52, -2.6518,-0.6807,1.0301,-0.1431,-0.0259,1.0512
53, -2.6174,-0.6527,1.0261,-0.1131,-0.0074,1.0978
54, -2.5776,-0.6199,1.0199,-0.0801,0.0131,1.1466
55, -2.5357,-0.5868,1.0147,-0.0441,0.0353,1.1945
56, -2.4913,-0.5483,1.0118,-0.0057,0.0592,1.2439
57, -2.4428,-0.5097,1.0046,0.0350,0.0843,1.2936
58, -2.3935,-0.4689,0.9992,0.0774,0.1105,1.3430
59, -2.3416,-0.4267,0.9931,0.1212,0.1377,1.3930
60, -2.2903,-0.3856,0.9867,0.1661,0.1653,1.4415
61, -2.2360,-0.3438,0.9802,0.2116,0.1935,1.4895
62, -2.1809,-0.2988,0.9719,0.2579,0.2224,1.5395
63, -2.1255,-0.2547,0.9644,0.3038,0.2506,1.5856
64, -2.0724,-0.2116,0.9590,0.3494,0.2789,1.6310
65, -2.0199,-0.1698,0.9519,0.3944,0.3067,1.6753
66, -1.9686,-0.1294,0.9463,0.4385,0.3341,1.7188
67, -1.9188,-0.0903,0.9393,0.4809,0.3604,1.7588
68, -1.8702,-0.0518,0.9330,0.5218,0.3857,1.7975
69, -1.8252,-0.0159,0.9269,0.5606,0.4098,1.8341
70, -1.7829,0.0202,0.9216,0.5969,0.4324,1.8678
71, -1.7466,0.0511,0.9152,0.6313,0.4539,1.9016
72, -1.7096,0.0802,0.9114,0.6598,0.4713,1.9240
73, -1.6781,0.1054,0.9064,0.6861,0.4876,1.9471
74, -1.6525,0.1252,0.9032,0.7086,0.5016,1.9675
75, -1.6345,0.1467,0.8991,0.7264,0.5127,1.9825
76, -1.6170,0.1584,0.8973,0.7395,0.5209,1.9935
77, -1.6078,0.1665,0.8953,0.7489,0.5272,2.0036
78, -1.6050,0.1715,0.8969,0.7466,0.5247,1.9922
